기준연도,시도코드,시도명,대학구분명,대학교명,본분교구분명,설립형태구분명,평균입학금액,평균등록금액,데이터기준일자,제공기관코드,제공기관명
2023,27,대구광역시,전문대학,한국폴리텍 VI 대학 영남융합기술캠퍼,본교,사립,0,2292344.3,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,한국폴리텍 특성화대학 항공캠퍼스,본교,사립,0,2433568.2,2023-10-31,B552529,한국장학재단
2023,44,충청남도,전문대학,한국폴리텍 특성화대학 바이오캠퍼스,본교,사립,0,2595000,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,한국폴리텍 특성화대학 반도체융합캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,41,경기도,원격대학,세계사이버대학,본교,사립,0,2250000,2023-10-31,B552529,한국장학재단
2023,27,대구광역시,원격대학,영진사이버대학교,본교,사립,0,2229000,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,국제예술대학교,본교,사립,0,4529494.7,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,백석예술대학교,본교,사립,0,7840380,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,정화예술대학교,본교,사립,0,8524000,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,전문대학,한국골프대학교,본교,사립,0,7930000,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,한국승강기대학교,본교,사립,0,7013300,2023-10-31,B552529,한국장학재단
2023,47,경상북도,원격대학,한국복지사이버대학,본교,사립,0,2193000,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,대학,강릉원주대학교,본교,국립,0,4253274.2,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,대학,강원대학교,본교,국립,0,4102933.2,2023-10-31,B552529,한국장학재단
2023,27,대구광역시,대학,경북대학교,본교,국립,0,4499842.9,2023-10-31,B552529,한국장학재단
2023,48,경상남도,대학,경상국립대학교,본교,국립,0,4075878.6,2023-10-31,B552529,한국장학재단
2023,44,충청남도,대학,공주대학교,본교,국립,0,3828316.9,2023-10-31,B552529,한국장학재단
2023,45,전라북도,대학,군산대학교,본교,국립,0,3918284.8,2023-10-31,B552529,한국장학재단
2023,47,경상북도,대학,금오공과대학교,본교,국립,0,3765638,2023-10-31,B552529,한국장학재단
2023,46,전라남도,대학,목포대학교,본교,국립,0,3887172.1,2023-10-31,B552529,한국장학재단
2023,46,전라남도,대학,목포해양대학교,본교,국립,0,3404767.2,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,대학,부경대학교,본교,국립,0,4035530.6,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,대학,부산대학교,본교,국립,0,4464815.4,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,대학,서울대학교,본교,국립,0,6011719.8,2023-10-31,B552529,한국장학재단
2023,46,전라남도,대학,순천대학교,본교,국립,0,3951411.4,2023-10-31,B552529,한국장학재단
2023,47,경상북도,대학,안동대학교,본교,국립,0,3748928.4,2023-10-31,B552529,한국장학재단
2023,29,광주광역시,대학,전남대학교,본교,국립,0,4167687.8,2023-10-31,B552529,한국장학재단
2023,45,전라북도,대학,전북대학교,본교,국립,0,4431726.5,2023-10-31,B552529,한국장학재단
2023,50,제주특별자치도,대학,제주대학교,본교,국립,0,3977332.7,2023-10-31,B552529,한국장학재단
2023,48,경상남도,대학,창원대학교,본교,국립,0,3876810.2,2023-10-31,B552529,한국장학재단
2023,30,대전광역시,대학,충남대학교,본교,국립,0,4364968.4,2023-10-31,B552529,한국장학재단
2023,43,충청북도,대학,충북대학교,본교,국립,0,4289666.3,2023-10-31,B552529,한국장학재단
2023,43,충청북도,대학,한국교원대학교,본교,국립,0,3179373.6,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,대학,한국체육대학교,본교,국립,0,3859865.1,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,대학,한국해양대학교,본교,국립,0,3723612.3,2023-10-31,B552529,한국장학재단
2023,48,경상남도,대학,경남과학기술대학교,본교,국립,0,3824025.4,2023-10-31,B552529,한국장학재단
2023,43,충청북도,대학,한국교통대학교,본교,국립,0,4110183.8,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,대학,서울시립대학교,본교,공립,0,2395890.4,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,청강문화산업대학교,본교,사립,0,7036156.2,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,국제대학교,본교,사립,0,6682105.2,2023-10-31,B552529,한국장학재단
2023,46,전라남도,전문대학,청암대학교,본교,사립,0,5547607.3,2023-10-31,B552529,한국장학재단
2023,30,대전광역시,전문대학,대전보건대학교,본교,사립,0,5665915.5,2023-10-31,B552529,한국장학재단
2023,44,충청남도,전문대학,백석문화대학교,본교,사립,0,6862914.4,2023-10-31,B552529,한국장학재단
2023,31,울산광역시,전문대학,춘해보건대학교,본교,사립,0,6134831.5,2023-10-31,B552529,한국장학재단
2023,43,충청북도,전문대학,강동대학교,본교,사립,0,5801738.3,2023-10-31,B552529,한국장학재단
2023,43,충청북도,전문대학,충청대학교,본교,사립,0,5963168.6,2023-10-31,B552529,한국장학재단
2023,28,인천광역시,전문대학,경인여자대학교,본교,사립,0,6258245.6,2023-10-31,B552529,한국장학재단
2023,44,충청남도,전문대학,신성대학교,본교,사립,0,6544616.7,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,김포대학교,본교,사립,0,6453745.9,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,동서울대학교,본교,사립,0,6831273.4,2023-10-31,B552529,한국장학재단
